Invoice Number,Total Charged
T13850254,55475.35
A62747783,4235.15
161144530,37311.55
796014322,17350.87
E27387103,
M34111329,
M53946534,36141.39
R71670452,7661.12
979670285,4511.72
Q64788539,-28798.89
W66258275,31404.55
Y58534003,38258.6
257665806,39407.98
266855019,19594.69
571042494,1.0
I04909858,
P03861535,17137.41
H94723345,6011.13
F53234990,23607.67
Z28552129,
X30496799,12668.75
134174723,25447.24
181594419,61783.67
C26131047,10242.76
89963850,33309.75
A95729518,29560.72
T29263533,
Q35306697,13323.72
Y18697538,-13692.18
767978072,34383.82
Y07372498,23289.24
V81905273,
H20799898,10498.89
X97373999,18934.19
N06323966,
769069565,58243.68
O58040471,
M10661182,
146741953,15162.7
E84433628,14369.28
M24825773,27.0
W50129278,
653925002,
625424983,30453.89
U62252886,9480.9
E25373550,37075.94
916297017,
U34951383,
700368606,49502.08
A48938858,
H77240226,43248.91
V93067699,27874.97
H28793370,
121929110,37641.64
123712539,28992.91
C01327605,28096.75
23859341,45494.63
T23530803,
309118197,3965.57
J51177512,42.2
81503201,
F44767044,18913.12
W69538750,80427.76
H34264676,
Z23018246,
707237346,16162.34
311144661,
U41461082,16947.76
Y85842192,35925.77
V11881912,29251.95
X80960146,9028.56
R27583705,6995.66
481659234,18607.06
718950973,30113.45
340464078,
K80053090,19195.29
247778754,80319.47
M56560191,
U89449874,47301.62
E66943855,37680.74
372208840,20909.12
E60004590,39115.63
161789608,12865.91
F14374052,9718.28
C54351527,68556.12
K86263847,16753.47
223220530,20465.36
I22704416,75371.86
J33869062,2832.51
Y44581531,26582.08
G34509205,155902.14
480205534,37589.97
P21203967,13484.54
340997336,5742.85
374336120,39028.19
138041107,28764.27
S06435726,
D89965256,32231.84
36750298,22035.15
209323917,5713.68
W28588383,4490.57
K34483673,21111.25
952479512,13139.89
136615486,24425.13
341301203,35579.99
E18091299,16887.13
D86176594,21918.11
935250345,10769.88
U78251903,2709.0
D49325288,36484.36
264787629,
A79027477,23820.59
417476526,9882.99
Z47518912,
S56913219,
L44853140,25038.33
857400377,29737.59
A19078949,30174.23
Y65193885,52902.97
N53242912,26636.23
645187376,
426512822,415946.12
168031754,18474.22
X56964357,26801.58
S90772199,7028.91
Y41040822,41945.0
224176784,43608.38
U53812741,19168.33
55844689,11481.37
N78782338,20792.2
O92249408,
U03766588,24053.65
E76958514,30777.62
F32755759,29359.57
908115810,
H93075608,76702.7
Q45263737,20173.29
Y83417169,18117.42
654302989,21356.74
R58407421,18072.68
546253538,42939.25
W77096603,12554.85
I26698284,
Z53385331,
Y35312443,48211.81
33249299,28445.67
J07325873,16697.74
683717975,
W96773725,22597.82
F60657312,19736.36
618416199,31612.46
U36621776,
425436720,29202.88
G42990804,
K20242401,13157.09
590055462,25594.23
N59153641,40672.95
Q63707473,34786.2
L19570662,15536.07
247207243,51868.64
177730377,46097.09
L10865389,
L16643970,
I92718194,
R51421597,12972.25
887415381,19656.89
K40623287,49577.54
P37527092,27267.49
44924707,15287.42
B92638504,17195.87
333552135,49399.03
T29839071,33935.86
U02602009,24198.42
58695402,43684.14
561149405,31847.68
M34276611,1688386.0
L07179449,25708.83
7033710,70508.61
874773719,17001.46
840606888,31264.11
T30028314,2669.48
N84361545,
610014553,39069.22
S37803786,81214.12
232631028,14822.84
O50508275,
17119426,51622.0
947167816,-5364.7
E60505388,37200.66
W73044264,83970.0
653061787,15846.47
481100984,
825337294,7080.7
F86760504,
U66926433,
H26589199,63660.17
L86890013,
Z18190532,
R97213467,564677.94
A11985914,
U75994515,53066.0
T87643244,32845.9
K37747946,34473.74
O64506955,
905096716,65979.94
927485037,31986.34
850213335,14111.95
C53181611,40390.2
M10946314,38927.4
Z12415568,
B75693877,21890.77
478057510,21720.1
607019793,86287.18
K17569782,18395.65
E65634505,4346.69
F64694029,
81264796,40072.4
H01504657,
O08914713,
M24911865,35516.1
158309790,34439.43
205226400,16776.83
748103961,5939.86
261194805,13614.51
H39261083,
703951510,51948.25
J33475278,7180.5
N59990310,1.0
103217571,25677.9
243969310,
131836862,23950.11
348781620,
504119388,33851.08
S54093661,
B85018278,22473.26
988508280,
760349488,-510690.4
G98919560,21530.35
644451249,40924.32
74018635,14588.39
M54255347,14019.43
550817805,17080.76
U66872824,15037.69
L88384431,
R82669058,31564.93
T91050331,36261.9
180597354,5962.86
E14362379,48014.67
810008085,20508.03
V16936246,30931.6
X62535979,25651.05
Z36941251,37938.88
266753965,15060.45
89367614,31149.27
S62085135,
620083599,45808.59
D65291271,38640.2
E56612634,17780.75
Z60190660,42884.52
412294628,
7159002,12054.72
494922337,2.0
770500616,
O21308504,
362212319,2358860.0
E03729364,39426.77
591538069,15477.9
368692568,13402.85
E78373610,15124.62
R17088386,
W57451681,11001.91
379559832,13728.92
F08050292,45.0
472087847,12934.78
E36566211,50872.83
H47985807,21522.31
K47436117,43647.47
E01843575,
471728107,
217126073,18021.43
393903331,
E33791796,
D50504767,30709.54
29447248,29187.84
796401636,18130.15
842385563,38960.3
M61714936,19578.16
N78954047,5924.22
S99864536,
B69635686,17377.53
N79850949,64534.06
P81828006,17798.35
W35451266,38162.86
T89870021,2126991.0
Y95516228,17907.31
X46948350,9962.24
R97747082,19895.1
468587209,36721.74
P32464108,29629.47
N99419684,1451.0
I70857446,47602.98
Z99042111,18089.67
151322339,13300.71
A14355958,24042.05
F43509161,39751.91
W41700629,77042.44
479809842,21003.0
73078527,12141.47
D44139084,36284.26
Z29834990,
U22148902,13463.49
689737863,22692.1
T91593422,21970.54
434861487,34351.36
F04192694,
Q03615946,40658.28
H52906543,36927.8
636240855,23596.49
712195342,18020.36
R50451043,37092.98
272621573,11964.53
S91245150,
960884624,-3838.67
C38624807,
928523278,7588.13
P41392394,7521.16
683328410,17445.88
W02810013,1906.52
388764495,49252.69
O88278318,
14220056,18316.12
X37778190,38561.4
650196087,20201.26
N20944669,
K66956951,7429.62
279481809,3065.97
K82170038,32590.34
K24837368,16973.15
371599529,49793.25
T86828904,
F96432356,16813.49
354828561,8080.72
X75389134,33891.0
Q17028639,12999.28
261642149,51277.33
W52647091,
P09565606,18279.15
Z19497807,
I75744958,
Y90063173,
Q59462055,37219.6
B64059582,25165.95
V64316254,48184.99
M99289709,66599.56
905920586,3370667.0
O60382460,20435.42
3410655,23563.16
L14362363,47738.82
P97658206,
187085275,25385.16
762002020,5062.55
84093924,65802.88
B62037391,
859923348,
Y68807141,13416.72
E67337054,12568.91
625678898,19888.72
J91699504,2208.92
N34832035,59301.12
H74499460,33325.64
537707090,202004.0
G08133303,19416.46
149171621,17541.16
62053479,9844.01
358444323,5077.27
393822269,33261.11
575109766,
S53781548,45565.51
818670390,11686.76
H76772729,15.0
4075853,
O34909160,
I45439330,
717682874,21665.53
388914437,16630.64
541121811,25737.44
303922188,30251.12
N74765060,15876.36
323798183,25850.44
I61739335,
520937324,30343.03
M57561231,20398.51
560394931,324.0
831083775,49250.74
294275220,7926.77
10726698,38885.33
943052652,39690.47
109884838,49682.7
486717121,
995696797,102698.54
640035804,10713.74
X65732317,15917.0
833007744,39452.4
H13372201,46875.33
M92216175,
713263077,27754.98
F73606992,8003.05
673324589,
446824670,47.0
K14493938,19537.3
Z13579459,46968.02
760421621,41259.27
850487389,14976.82
496008118,
A92930204,8713.89
122635219,2347402.0
L62426898,12362.79
Y23624340,16361.58
828108277,17111.37
S31628147,17469.04
H64226432,18896.9
671960273,16938.33
X26616871,32382.08
334835129,10886.99
A31500878,21501.69
M06870083,64791.93
512407441,726.63
276435492,16471.2
C07949388,21870.72
740929216,14864.82
39171691,31798.98
J24088478,
716726548,8885.2
T03868910,11513.22
B24746340,
Y75103602,41977.25
N00794559,
221800479,
G21692001,14479.17
336161256,28207.92
560769517,33898.07
X98019617,22593.71
927590897,19965.8
103771831,9904.84
W15716238,26869.13
373198652,22539.68
82946292,33852.34
576405707,8204.84
C44757547,20351.65
747995436,9.0
880314922,49728.43
483298163,45045.85
D60856904,32627.17
413071155,26052.17
W52148031,
82783587,
X61051263,24651.87
E80561076,10906.94
Q42091054,-88123.89
C23563744,11506.58
458923436,
H97714837,26938.07
300156960,18266.43
N76060437,13536.77
932063675,
816463672,37525.83
873208270,11488.16
C35528902,23159.43
O07172205,
X92129349,
166171286,
714644419,22265.33
81637261,38216.47
777220620,27786.14
J13324290,2673.5
H92525725,
669451383,
817571285,21778.21
G41602454,12598.16
X24665873,29716.32
T20450217,
436062517,
350779207,6724.21
159694509,51098.75
L90860134,
K72169756,21576.43
132463890,
928824085,9054.6
666501878,7422.94
I33164144,
167419804,3383.75
N78076328,26937.18
358374817,45981.41
389374562,12498.1
199615782,19267.1
191735158,29010.85
C71149052,
K32266430,16625.62
298874215,4178.32
S52088566,
774431073,18723.97
993008601,30669.68
249148545,8811.33
Z17087461,11742.05
N84341824,35772.08
W08498679,49399.23
F42838802,3420.67
H81368524,
Y61843660,35599.36
G04545534,
F57303984,13322.22
500673157,40641.64
Z75127011,
556969522,32148.9
493426837,39146.35
270410669,
E78647035,11469.15
496352093,28936.91
F22646212,29967.75
F58477080,57918.58
900310654,51792.35
965462887,22627.73
R56024532,16327.2
J62056484,5739.19
448089744,2277.28
955388872,
K40413987,4186.75
411697483,31793.87
408632278,44483.75
L00981624,3422.07
X69355246,31596.96
157511214,11995.66
Y79459072,73907.03
534509529,-13428.93
B71398501,
J81465801,40736.75
E77299374,36431.38
579779928,33157.64
188389788,15396.28
651184765,
457511047,11189.93
R46766698,23640.18
F55659893,17970.41
I29569341,
995069335,59066.39
G81681404,37381.28
934501177,20310.24
N42367156,36966.01
S93038598,16932.62
836080747,47817.21
179696144,16913.48
659213196,26142.78
991932972,16937.49
N42603601,
S68480539,3635.0
134641440,13256.39
A19885701,31485.49
P10109758,27264.16
91553298,38234.37
T97637435,30512.66
501863900,22596.13
D28999996,67426.56
564653890,
797336776,19049.09
239252542,9231.14
300715594,27806.82
666441097,15552.25
B66994378,41264.32
761259632,11338.61
235864113,35087.39
737540792,24830.56
G11273679,17210.81
15446554,21529.53
254385213,23964.17
N13888406,
N94064738,21170.23
O98334861,19906.68
K11168555,17129.49
K51042077,
N09296251,66403.45
148380969,31200.76
U68724522,25114.59
H41309239,6099.04
H96634052,13991.6
320272918,2771.41
R65325174,14528.98
Y13584028,
L87545368,
U17333373,16045.33
587692676,44252.57
A22113809,77629.51
203415327,7542648.0
Z09937746,13660.27
R37095818,60691.79
249070653,37506.31
H15000201,45356.36
848969990,25704.05
179850710,38766.68
L73315281,
C72890104,16085.41
194871080,37258.91
T49443480,53038.51
N96061142,28641.05
N66469660,33025.1
W27830676,32607.17
836373527,10853.02
A58105111,31424.97
671630289,17445.18
780372644,33001.17
829621902,9328.23
J94816623,23970.95
C86219860,19292.97
627292279,41491.15
387415068,
J06708576,8115.98
G41102182,24933.76
173235339,6310.73
759707946,18980.19
55314341,29042.04
C36997168,17944.03
926534338,57599.01
710370594,26225.04
823576019,26644.32
778234723,13362.46
Y50754978,24088.43
U30482710,8242.81
P82919972,
212896081,9411.47
73122139,38085.81
238693057,
560031826,36439.8
T26870957,17475.66
W70670958,1703.18
504281457,69279.64
Y70481826,9885.26
F21855677,13852.25
504410149,25967.29
F90300325,42191.32
Z28231627,50564.17
F10822674,2413744.0
374297186,75466.71
694545557,
M69473297,25501.71
972017988,28950.09
513757627,12553.01
448462517,8851.85
Q55378628,38704.76
360887046,15550.32
970563448,12823.49
Q72599313,12194.79
825225585,33736.88
931348907,30161.27
C83681042,9878.53
762844737,37209.9
B58503141,
I53125763,
675647873,15029.12
454148572,39683.51
T75160494,
615529936,25249.7
O76221068,
Z55684383,
591718673,15699.57
274138614,13928.82
911756081,8295.46
B21612524,
Z79364917,
969671146,27703.77
O45131881,
T92562026,15513.29
963266757,37745.91
X70960185,32977.99
726028216,23504.81
R43083892,19389.89
Q71201419,15893.51
328749489,
B02639959,17047.16
S12804454,
S51936018,34200.75
203614080,7885.5
539756310,38786.25
A14992502,13240.93
T23253751,
953436099,44840.0
105542111,
H04582292,26913.54
200186800,22809.04
346884370,10913.56
D52755784,
522338649,17625.79
658291418,32412.57
Q66864571,1874412.0
J89938309,35630.99
533184095,18191.93
756208849,47465.31
72683575,24888.73
677953585,
226804483,28501.38
X14198241,35920.17
N15550604,-17107.76
W28862654,
966580985,23548.87
U76666943,
407935544,17499.3
422333780,
450063681,4507897.0
J03560148,31790.19
397744799,33672.93
764978728,19359.88
D51496160,2368.72
952075374,14585.48
584104059,24877.79
W73771705,6611.27
240936608,27210.11
482145119,
291034231,14700.44
563782213,26576.63
715071195,9718.01
G89690650,47191.01
J14365531,27822.78
161955149,15219.51
B35209087,
367464880,
700765117,30496.83
868263864,
G27292548,30931.54
82589416,47385.48
448792416,33648.22
M10920090,
889120404,8037.95
T73936386,34226.85
R15446797,
974110153,40080.93
S66655725,
O61092756,
Q16069285,25771.47
S66790160,37196.72
386222756,
V83205279,
D89998695,4574.0
F99500366,29921.83
D35254717,14293.52
460655538,
O67928383,11663.1
F78375651,30022.56
642086703,
E91985441,
747626422,30589.61
T70565224,8.0
B28260914,
872385313,30183.43
723477890,
62297182,12244.63
P07924053,12263.34
714739806,19280.62
U08587819,27023.51
A92113296,
B47166553,9173.73
623610662,86175.91
N67769666,2.0
691521062,
L12275884,
985279020,46359.09
799615271,27905.46
1996247,24499.37
323106719,-9927.05
416956786,
301639906,29928.59
482748622,73729.74
K56029294,51602.75
D76795190,14244.29
H93789693,24280.76
496191376,24565.92
430027848,46602.83
G64133686,18560.34
O85054631,
522428740,
F47109546,26465.94
141015735,9990.41
450659976,3043647.0
N81336779,12933.73
D04444060,33738.27
780895345,11457.15
376097634,22132.45
R06174759,52816.18
281015471,
W86054335,
821367878,24461.88
30634319,39961.19
U61162030,
R28106914,
X35198491,10407.82
449818763,8003.4
344593049,56392.25
W37228939,14864.15
U01777319,
N26985602,22278.37
O39273168,
421955271,18619.56
O79892677,
979247849,10347.59
C02958070,25358.42
N26719889,
826821883,28459.44
203658111,20915.2
201073943,22603.7
949263417,21362.2
N60606413,9352.58
820380833,9299.4
607786334,4820240.0
A05884948,19039.2
39518406,15418.57
W20575277,15621.26
M78045272,18994.29
196629123,23694.3
911100672,23030.77
656215458,24581.97
872560436,42592.53
323409526,56415.03
K08414797,16420.18
E40851671,22843.59
931101666,
276418818,25786.04
O88258365,
B58075757,13557.02
X23359837,11080.26
E02725975,6449.23
B18206495,5635.42
329628995,3028666.0
D32378097,23282.73
526448510,23537.57
Z46391021,10583.42
R95062932,4199861.0
450812904,10818.37
703222959,
Q32968382,3940.02
636040513,21359.9
457025606,41661.15
H28261431,14416.17
E67280413,375376.39
S39672047,17048.25
W47038078,17046.99
997668125,42323.04
Q27602411,12329.25
145440037,21573.99
851298612,9698.3
W07504730,
838392262,31612.82
K19606858,9669.01
Z17413065,68201.84
176180460,52188.22
410140198,18976.76
G98145535,19967.88
Q13238794,61907.82
E20297949,9759.09
E46202989,
334418649,19284.98
K05383757,6955.57
Y72964599,
986433219,
704190483,45760.0
920975501,27666.88
O22057187,
W16159113,27194.35
J35861528,14414.48
I56214076,1982.29
559480180,16160.14
U71720060,21771.22
280215366,16062.39
100856525,22890.11
752804192,16743.83
W98470507,34429.36
74128755,14224.58
H48654517,17021.83
626084566,21608.64
410894134,46982.53
